Beauaraba Living,PITTSWORTH,QLD
Beaudesert Hospital,BEAUDESERT,QLD
Beaufort/Skipton Hlth Serv,BEAUFORT,VIC
Beechworth Health Services,BEECHWORTH,VIC
Bega District Hospital,BEGA,NSW
Bega Valley Private Hosp,BEGA,NSW
Beleura Private Hospital,MORNINGTON,VIC
Bellbird Private Hospital,BLACKBURN SOUTH,VIC
Bellinger River Hospital,BELLINGEN,NSW
Belmont Hospital,BELMONT,NSW
Belmont Private Hospital,CARINA,QLD
Benalla Memorial Hospital,BENALLA,VIC
Bendigo Day Surgery,BENDIGO,VIC
Bendigo Hospital,BENDIGO,VIC
Bentley Hospital,BENTLEY,WA
Berkeley Vale Private Hosp,BERKELEY VALE,NSW
Berri Regional Hospital,BERRI,SA
Berrigan Multi-Purpose Service,BERRIGAN,NSW
Berrigan War Memorial Hosp,BERRIGAN,NSW
Berwick Eye & Surgicentre,BERWICK,VIC
Beryl Lewis Day Care Cntre,LAKE ILLAWARRA,NSW
Bethesda Hospital,CLAREMONT,WA
Beverley District Hospital,BEVERLEY,WA
Biggenden Hospital,BIGGENDEN,QLD
Biloela Hospital,BILOELA,QLD
Bingara Hospital,BINGARA,NSW
Birdwood Rd Day Care Ctre,GEORGES HALL,NSW
Blackall Hospital,BLACKALL,QLD
Blacktown Hospital,BLACKTOWN,NSW
Blacktown-Mt Druitt Health,MOUNT DRUITT,NSW
Blackwater Hospital,BLACKWATER,QLD
Blayney Health Service,BLAYNEY,NSW
Bloomfield Hospital,ORANGE,NSW
Blue Care Allied Hlth Svc,LABRADOR,QLD
Blue Gum Lodge,GREENWICH,NSW
Blue Mountains District Anzac Memorial Hospital,KATOOMBA,NSW
Boddington District Hosp,BODDINGTON,WA
Boggabri Multi-Purpose Service,BOGGABRI,NSW
Bollon Outpatients Clinic,BOLLON,QLD
Bombala Multi-Purpose Service,BOMBALA,NSW
Bonalbo Hospital,BONALBO,NSW
Bondi Junction Priv Hosp,BONDI JUNCTION,NSW
Booleroo Centre Hospital,BOOLEROO CENTRE,SA
Boonah Hospital,BOONAH,QLD
Boorowa District Hospital,BOOROWA,NSW
Boort District Hospital,BOORT,VIC
Bordertown Mem Hospital,BORDERTOWN,SA
Boroondara Comm Rehab Ctr,CAMBERWELL,VIC
Boulevarde Day Surg Ctr,FAIRFIELD HEIGHTS,NSW
Bourke District Hospital,BOURKE,NSW
Bourke St Health Service,GOULBURN,NSW
Bowen District Hospital,BOWEN,QLD
Bowral & District Hospital,BOWRAL,NSW
Bowral Day Surgery,BOWRAL,NSW
Box Hill Gardens Day Surg,BOX HILL,VIC
Box Hill Hospital,BOX HILL,VIC
Boyne Valley Health Care,MANY PEAKS,QLD
Boyup Brook District Hosp,BOYUP BROOK,WA
Braeside Hospital,PRAIRIEWOOD,NSW
Braidwood Multi Purpose Service,BRAIDWOOD,NSW
Brewarrina Health Service,BREWARRINA,NSW
Bridgetown District Hosp,BRIDGETOWN,WA
Brighton Plastic Surgery,BRIGHTON,VIC
Brindabella Endoscopy Centre,GARRAN,ACT
Brisbane Endoscopy Services,SUNNYBANK,QLD
Brisbane Private Hospital,BRISBANE,QLD
Brisbane Waters Priv Hosp,WOY WOY,NSW
Broadmeadow Day Surgery,BROADMEADOW,NSW
Broadmeadows Health Service,BROADMEADOWS,VIC
Broken Hill Base Hospital,BROKEN HILL,NSW
Brookton Health Service,BROOKTON,WA
Broome District Hospital,BROOME,WA
Bruce Rock Memorial Hosp,BRUCE ROCK,WA
Brunswick Private Hospital,BRUNSWICK,VIC
Bulahdelah District Hosp,BULAHDELAH,NSW
Bulli Hospital,BULLI,NSW
Bunbury Regional Hospital,BUNBURY,WA
Bundaberg Base Hospital,BUNDABERG,QLD
Burketown Health Centre,BURKETOWN,QLD
Burnside War Memorial Hosp,TOORAK GARDENS,SA
Burra Burra Hospital,BURRA,SA
Burwood Endoscopy Centre,BURWOOD,NSW
Busselton District Hosp,BUSSELTON,WA
Byron Bay Hospital,BYRON BAY,NSW
CGHS - Maffra Campus,MAFFRA,VIC
Caboolture Eye Surgery,CABOOLTURE,QLD
Caboolture Hospital,CABOOLTURE,QLD
Caboolture Private Hosp,CABOOLTURE,QLD
Cabrini Health Elsternwick Private Hospital,ELSTERNWICK,VIC
Cabrini Hospital Malvern,MALVERN,VIC
Cabrini Prahran,PRAHRAN,VIC
Cabrini Private Hospital Brighton,BRIGHTON,VIC
Cairns Base Hospital,CAIRNS,QLD
Cairns Day Surgery,CAIRNS,QLD
Cairns Private Hospital,CAIRNS,QLD
Caloundra Hospital,CALOUNDRA,QLD
Caloundra Private Hospital,CALOUNDRA,QLD
Calvary Central District Hospital,ELIZABETH VALE,SA
Calvary College Grove Rehabilitation Hospital,WALKERVILLE,SA
Calvary Day Procedure Ctr,WAGGA WAGGA SOUTH,NSW
Calvary Health Care,NORTH ADELAIDE,SA
Calvary Health Care Bethlehem,CAULFIELD SOUTH,VIC
Calvary Hospital Wagga,WAGGA WAGGA,NSW
Calvary Hospital,LENAH VALLEY,TAS
Calvary Hospital Kogarah,KOGARAH,NSW
Calvary John James Hospital,DEAKIN,ACT
Calvary Mater Newcastle Hosp,WARATAH,NSW
Calvary Private Hospital,BRUCE,ACT
Calvary Public Hospital,BRUCE,ACT
Calvary Wakefield Hospital,ADELAIDE,SA
Camden Haven Comm Health,LAURIETON,NSW
Camden Hospital,CAMDEN,NSW
Camooweal Health Centre,CAMOOWEAL,QLD
Campbell Hospital,CORAKI,NSW
Campbell Town Health Service,CAMPBELL TOWN,TAS
Campbelltown Private Hosp,CAMPBELLTOWN,NSW
Campbelltown Hospital,CAMPBELLTOWN,NSW
Camperdown Adult Day Cntre,CAMPERDOWN,VIC
Canberra Eye Hospital,SYMONSTON,ACT
Canberra Eye Hospital Day Theatre,SYMONSTON,ACT
Canberra Surgicentre,BRADDON,ACT
Cancer Foundation Cottage Hospice,SHENTON PARK,WA
Canowindra Memorial Hosp,CANOWINDRA,NSW
Canterbury Hospital,CAMPSIE,NSW
Capital Day Surgical Centre,BARTON,ACT
Capricorn Coast and Health Service,HIDDEN VALLEY,QLD
Caritas Christi Hospice,KEW,VIC
Carnarvon Regional Hospital,CARNARVON,WA
Carswell Clinic,CHATSWOOD,NSW
Casey Gardens Day Hospital,NARRE WARREN,VIC
Casey Hospital,BERWICK,VIC
Casino Memorial Hospital,CASINO,NSW
Casterton Mem Hospital,CASTERTON,VIC
Castle Hill Day Surgery,CASTLE HILL,NSW
Castle Hill Therapy Centre,CASTLE HILL,NSW
Castlecrag Private Hosp,CASTLECRAG,NSW
Castlemaine Health,CASTLEMAINE,VIC
Caulfield Hospital,CAULFIELD SOUTH,VIC
Ceduna District Health Services,CEDUNA,SA
Central Gippsland Hlth Svc,HEYFIELD,VIC
Central Yorke Peninsula Hospital,MAITLAND,SA
Centre for Digestive Diseases,FIVE DOCK,NSW
Cessnock Hospital,CESSNOCK,NSW
Charleville Hospital,CHARLEVILLE,QLD
Charters Towers Health Ctr,CHARTERS TOWERS,QLD
Chatswood Day Care Centre,CHATSWOOD,NSW
Chelsea Rehabilitation Ctr,EDITHVALE,VIC
Cherbourg Hospital,CHERBOURG,QLD
Chermside Day Hospital,CHERMSIDE,QLD
Chesalon Therapy Centre,NORTH MANLY,NSW
Chesterville Day Hospital,CHELTENHAM,VIC
Childers Hospital,CHILDERS,QLD
Chillagoe Hospital,CHILLAGOE,QLD
Chinchilla Health Services,CHINCHILLA,QLD
Christmas Island Hospital,CHRISTMAS ISLAND,WA
City Cosmetic Surgery,DARLINGHURST,NSW
City West Day Surgery,WESTMEAD,NSW
Clare Holland House,BARTON,ACT
Clare Hospital,CLARE,SA
Clermont Multi Purpose Health Service,CLERMONT,QLD
Clifton Co-operative Hosp,CLIFTON,QLD
Cliveden Hill Private Hosp,EAST MELBOURNE,VIC
Cloncurry Hospital,CLONCURRY,QLD
Clunes Dist Health Service,CLUNES,VIC
Coastal Plastic Surgery Centre,MORNINGTON,VIC
Cobar District Hospital,COBAR,NSW
Cobden District Health Services,COBDEN,VIC
Cobram District Hospital,COBRAM,VIC
Coffs Harbour Hlth Campus,COFFS HARBOUR,NSW
Coffs Harbour Day Surgical Centre,COFFS HARBOUR,NSW
Cohuna District Hospital,COHUNA,VIC
Colac Area Health,COLAC,VIC
Coledale Hospital,COLEDALE,NSW
Coleraine Dist Health Serv,COLERAINE,VIC
Colin Street Day Surgery,WEST PERTH,WA
Collie District Hospital,COLLIE,WA
Collinsville Hospital,COLLINSVILLE,QLD
Community Health Service - Millmerran,MILLMERRAN,QLD
Como Private Hospital,PARKDALE,VIC
Concept Fertility Centre,SUBIACO,WA
Concord Repatriation General Hospital,CONCORD REPATRIATION HOSPITAL,NSW
Condobolin Health Service,CONDOBOLIN,NSW
Coober Pedy Hospital Inc,COOBER PEDY,SA
Cooinda Disability Service,NHILL,VIC
Cooktown Multi Purpose Health Service,COOKTOWN,QLD
Coolah District Hospital,COOLAH,NSW
Coolamon Multi-Purpose Service,COOLAMON,NSW
Cooloola Private Hospital,GYMPIE,QLD
Cooma Health Service,COOMA,NSW
Coonabarabran Hlth Service,COONABARABRAN,NSW
Coonamble Health Service,COONAMBLE,NSW
Cooper's Cottage,CAMPBELLTOWN,NSW
Cootamundra Hospital,COOTAMUNDRA,NSW
Corowa Hospital,COROWA,NSW
Corrigin District Hospital,CORRIGIN,WA
Corymbia House Day Hospital,DANDENONG,VIC
Cosmetic Medical Centre,SURRY HILLS,NSW
Cosmetic Plastic Surgery,WARNERS BAY,NSW
Cotham Private Hospital,KEW,VIC
Cowell Comm Hlth/Aged Care,COWELL,SA
Cowra Health Service,COWRA,NSW
Creswick District Hospital,CRESWICK,VIC
Crookwell District Hosp,CROOKWELL,NSW
Croydon Day Surgery Centre,CROYDON,VIC
Croydon Hospital,CROYDON,QLD
Crystal Brook District Hospital,CRYSTAL BROOK,SA
Cudal Health Service,CUDAL,NSW
Culcairn Health Service,CULCAIRN,NSW
Cummins & Dist Hospital,CUMMINS,SA
Cunderdin Dist Hospital,CUNDERDIN,WA
Cunnamulla Hospital,CUNNAMULLA,QLD
Dalby Hospital,DALBY,QLD
Dalcross Private Hospital,KILLARA,NSW
Dalwallinu District Hosp,DALWALLINU,WA
Dandenong Hospital,DANDENONG,VIC
Dandenong Mental Hlth Serv,DANDENONG,VIC
Dandenong Surgicentre,DANDENONG,VIC
Darwin Day Surgery,FANNIE BAY,NT
Darwin Private Hospital,TIWI,NT
David Berry Hospital,BERRY,NSW
Day Surgery Centre,MANLY,NSW
Day Therapy Centre,BOORAGUL,NSW
Daylesford Dist Hospital,DAYLESFORD,VIC
De Torres Clinic,SOUTH WENTWORTHVILLE,NSW
Dee Why Endoscopy Unit,DEE WHY,NSW
Delegate Multi-Purpose Service,DELEGATE,NSW
Delmar Private Hospital,DEE WHY,NSW
Delmont Private Hospital,GLEN IRIS,VIC
Deloraine Dist Hospital,DELORAINE,TAS
Denman Hospital,DENMAN,NSW
Denmark Health Service,DENMARK,WA
Dental Surgery,DEE WHY,NSW
Dental Surgery,WESTMEAD,NSW
Dental Surgery,SYDNEY,NSW
Dental Surgery,PARRAMATTA,NSW
Dental Surgery,DEE WHY,NSW
Dental Surgery,CASTLE HILL,NSW
Dental Surgery,NARROMINE,NSW
Dental Surgery,DURAL,NSW
Dental Surgery,RANDWICK,NSW
Dept of Surgery,TOWNSVILLE,QLD
Derby Regional Hospital,DERBY,WA
Digestive Health Centre,DANDENONG,VIC
Dimbulah Hospital,DIMBULAH,QLD
Dirranbandi Health Service,DIRRANBANDI,QLD
Donnybrook District Hosp,DONNYBROOK,WA
Donvale Rehabilitation Hospital,DONVALE,VIC
Doomadgee Hospital,DOOMADGEE,QLD
Dorrigo Multi Purpose Service,DORRIGO,NSW
Dorset Rehabilitation Centre,PASCOE VALE,VIC
Double Bay Day Surgery,DOUBLE BAY,NSW
Douglas Shire Multi-Purpose Health Service,MOSSMAN,QLD
Dr M Newman's Rooms,MIRANDA,NSW
Drummoyne Eye Surgical Centre,DRUMMOYNE,NSW
Dubbo Base Hospital,DUBBO,NSW
Dubbo Nuclear Medicine,DUBBO,NSW
Dubbo Private Hospital,DUBBO,NSW
Dudley Private Hospital,ORANGE,NSW
Dumbleyung District Hosp,DUMBLEYUNG,WA
Dunedoo Multi-Purpose Service,DUNEDOO,NSW
Dungog & District Hospital,DUNGOG,NSW
Dysart Hospital,DYSART,QLD
E Grampians Health Service,WILLAURA,VIC
ECCA,EAST MELBOURNE,VIC
East Grampians Health Service,ARARAT,VIC
East Wimmera Hlth Service,ST ARNAUD,VIC
East Wimmera Hlth Service,WYCHEPROOF,VIC
East Wimmera Hlth Service,DONALD,VIC
East Wimmera Hlth Service,BIRCHIP,VIC
East Wimmera Hlth Service,CHARLTON,VIC
Eastern Eye Surgery,BOX HILL,VIC
Eastern Suburbs Private Hospital,RANDWICK,NSW
Eastern Suburbs Endoscopy,BONDI JUNCTION,NSW
Echuca Regional Health,ECHUCA,VIC
Eden Rehabilitation Centre,COOROY,QLD
Edenhope & District Memorial Hospital,EDENHOPE,VIC
Eidsvold Health Service,EIDSVOLD,QLD
Elizabeth Brown Day Centre,BALLARAT,VIC
Elmore Primary Care Clinic,ELMORE,VIC
Emerald Hospital,EMERALD,QLD
Emmaville Vegetable Creek Multi Purpose Service,EMMAVILLE,NSW
Enoggera Day Respite Ctr,ENOGGERA,QLD
Epworth Eastern Hospital,BOX HILL,VIC
Epworth Freemasons Hosp,EAST MELBOURNE,VIC
Epworth Freemasons Medical Centre,EAST MELBOURNE,VIC
Epworth Hospital,RICHMOND,VIC
Epworth Rehabilitation Richmond,RICHMOND,VIC
Epworth Rehabilitation Camberwell,CAMBERWELL,VIC
Epworth Rehabilitation Brighton,BRIGHTON,VIC
Eric Hart Day Care Centre,LARA,VIC
Esk Health Service,ESK,QLD
Esperance Dist Hospital,ESPERANCE,WA
Essendon Private Hospital,ESSENDON WEST,VIC
Essential Care Clinic,PARRAMATTA,NSW
Eudunda & Kapunda Hlth Svc,EUDUNDA,SA
Eudunda & Kapunda Hlth Svc,KAPUNDA,SA
Eugowra Memorial Hospital,EUGOWRA,NSW
Euroa Hospital Inc,EUROA,VIC
Exmouth District Hospital,EXMOUTH,WA
Eye Surgery Foundation,WEST PERTH,WA
Eye-Tech Day Surgeries,SPRING HILL,QLD
Fairfield District Hosp,PRAIRIEWOOD,NSW
Family & Cosmetic Dentistry,FAIRFIELD,NSW
Figtree Private Hospital,FIGTREE,NSW
Finley Hospital,FINLEY,NSW
Fitzroy Valley Health Services,FITZROY CROSSING,WA
Flinders Island Multi-Purpose Centre,WHITEMARK,TAS
Flinders Medical Centre,BEDFORD PARK,SA
Flinders Private Hospital,BEDFORD PARK,SA
Forbes District Hospital,FORBES,NSW
Forsayth Hospital,FORSAYTH,QLD
Forster Private Hospital,FORSTER,NSW
Frances Perry House,PARKVILLE,VIC
Francis St Ophthalmic Ctre,RICHMOND,NSW
Frankston Hospital,FRANKSTON,VIC
Frankston Private Day Surgery,FRANKSTON,VIC
Fremantle Hospital,FREMANTLE,WA
Fremantle Kaleeya Hospital,EAST FREMANTLE,WA
Friendly Society Private Hospital,BUNDABERG,QLD
Fullarton Private Hospital,PARKSIDE,SA
GSHS - Korumburra Hospital,KORUMBURRA,VIC
GSHS - Leongatha Hospital,LEONGATHA,VIC
Galliers Wing & Specialist Centre,ARMADALE,WA
Gatton Health Services,GATTON,QLD
Gawler Hospital,GAWLER EAST,SA
Gayndah Health Service,GAYNDAH,QLD
Geelong Private Hospital,GEELONG,VIC
George Street Cosmetic & General Dentistry,HAYMARKET,NSW
George Town Dist Hospital,GEORGE TOWN,TAS
Georgetown Hospital,GEORGETOWN,QLD
Geraldton Regional Hosp,GERALDTON,WA
Gilgandra Multi-Purpose Service,GILGANDRA,NSW
Gin Gin Hospital,GIN GIN,QLD
Gippsland Base Hospital,SALE,VIC
Gippsland Sthn Hlth Serv,LEONGATHA,VIC
Girrawheen Day Centre,BRIGHTON,VIC
Gladstone Hospital,GLADSTONE,QLD
Glen Innes Hospital,GLEN INNES,NSW
Glen Iris Private,GLEN IRIS,VIC
Glen Osmond Surgicentre,EASTWOOD,SA
Glenelg Community Hospital,GLENELG,SA
Glenelg Day Surgery,GLENELG,SA
Glenferrie Private Hospital,HAWTHORN,VIC
Glengarry Private Hospital,DUNCRAIG,WA
Gloucester Memorial Hosp,GLOUCESTER,NSW
Gnowangerup District Hosp,GNOWANGERUP,WA
Gold Coast Hospital - Robina,ROBINA,QLD
Gold Coast University Hospital,SOUTHPORT,QLD
Goomalling Health Service,GOOMALLING,WA
Goondiwindi Health Service,GOONDIWINDI,QLD
Gordonvale Mem Hospital,GORDONVALE,QLD
Gosford Hospital,GOSFORD,NSW
Goulburn Base Hospital,GOULBURN,NSW
Goulburn Valley Base Hosp,SHEPPARTON,VIC
Gove District Hospital,NHULUNBUY,NT
Gower Wilson Memorial Hospital,LORD HOWE ISLAND,NSW
Grafton Base Hospital,GRAFTON,NSW
Greenslopes Day Surgery,GREENSLOPES,QLD
Greenslopes Private Hosp,GREENSLOPES,QLD
Greenwich Hospital,GREENWICH,NSW
Grenfell Multi-Purpose Service,GRENFELL,NSW
Griffith Base Hospital,GRIFFITH,NSW
Griffith Rehab Hospital,HOVE,SA
Griffiths Rd Day Procedure,WARATAH,NSW
Gulargambone Multi-Purpose Service,GULARGAMBONE,NSW
Gulgong Health Service,GULGONG,NSW
Gumeracha District Soldiers' Memorial Hospital,GUMERACHA,SA
Gundagai District Hospital,GUNDAGAI,NSW
Gunnedah Hospital,GUNNEDAH,NSW
Guyra Multi-Purpose Service,GUYRA,NSW
Gympie Hospital,GYMPIE,QLD
Halls Creek Hospital,HALLS CREEK,WA
Hamilton Base Hospital,HAMILTON,VIC
Hamilton House Day Surgery,CUMBERLAND PARK,SA
Hamley Bridge Hospital,HAMLEY BRIDGE,SA
Harborne Dental Clinic,GLENDALOUGH,WA
Hartley Dialysis Centre,BRIGHTON,SA
Harvey District Hospital,HARVEY,WA
Hastings Day Surgery,PORT MACQUARIE,NSW
Hawker Memorial Hospital,HAWKER,SA
Hawkesbury Hospital,WINDSOR,NSW
Healesville & Dist Hosp,HEALESVILLE,VIC
Healthbridge Hawthorn Private Hospital,HAWTHORN,VIC
Hedland Health Campus,SOUTH HEDLAND,WA
Heidelberg Day Surgery Ctr,HEIDELBERG HEIGHTS,VIC
Henty District Hospital,HENTY,NSW
Herberton Hospital,HERBERTON,QLD
Hervey Bay Hospital,HERVEY BAY,QLD
Hesse Rural Health Service,WINCHELSEA,VIC
Hevington House,AUBURN,NSW
Heywood Rural Health,HEYWOOD,VIC
Hillcrest Dental,PENNANT HILLS,NSW
Hillcrest Private Hospital,ROCKHAMPTON,QLD
Hillston District Hospital,HILLSTON,NSW
Hirondelle Priv Hospital,CHATSWOOD,NSW
Hobart Day Surgery,SOUTH HOBART,TAS
Hobart Private Hospital,HOBART,TAS
Hobart Specialist Dental Centre,SOUTH HOBART,TAS
Hobsons Bay Endoscopy Centre,WERRIBEE,VIC
Hobsons Bay Endoscopy Centre,ALTONA,VIC
Holbrook District Hospital,HOLBROOK,NSW
Hollywood Private Hospital,NEDLANDS,WA
Holroyd Private Hospital,GUILDFORD,NSW
Holy Spirit Northside Private Hospital,CHERMSIDE,QLD
Home Hill Hospital,HOME HILL,QLD
Hopetoun Rehab Hosp,ELSTERNWICK,VIC
Hornsby Ku-ring-gai Hosp,HORNSBY,NSW
Hornsby Sleep Disorder Ctr,WAITARA,NSW
Hunter Valley Private Hosp,SHORTLAND,NSW
Hunters Hill Private Hosp,HUNTERS HILL,NSW
Hurstville Private Hospital,HURSTVILLE,NSW
IMPACT,FRANKSTON,VIC
IMPACT,OAKLEIGH,VIC
Inala Day Respite Centre,RICHLANDS,QLD
Ingham Hospital & Health Services,INGHAM,QLD
Inglewood Health Service,INGLEWOOD,VIC
Inglewood Health Services,INGLEWOOD,QLD
Injune Hospital,INJUNE,QLD
Inner West Endoscopy Ctr,MARRICKVILLE,NSW
Innisfail Hospital,INNISFAIL,QLD
Insight Clinic Private Hospital,ALBURY,NSW
Institute for Immunology & Infectious Diseases,MURDOCH,WA
Inverell Hospital,INVERELL,NSW
Ipswich Hospital,IPSWICH,QLD
Ivanhoe District Hospital,IVANHOE,NSW
Ivanhoe Endoscopy Centre,IVANHOE,VIC
Jamestown Hospital & Health Service,JAMESTOWN,SA
Jandowae Health Services,JANDOWAE,QLD
Jean Colvin Hospital,DARLING POINT,NSW
Jeparit Hospital,JEPARIT,VIC
Jerilderie Multi-Purpose Service,JERILDERIE,NSW
Jessie McPherson Priv Hosp,CLAYTON,VIC
John Fawkner Private Hospital,COBURG,VIC
John Flynn Private Hosp,TUGUN,QLD
John Hunter Childrens Hosp,NEW LAMBTON,NSW
John Hunter Hospital,NEW LAMBTON HEIGHTS,NSW
John Oxley Memorial Hosp,WACOL,QLD
Jolimont Endoscopy,EAST MELBOURNE,VIC
Joondalup Health Campus,JOONDALUP,WA
Joyce Palmer Health Serv,PALM ISLAND,QLD
Julia Creek Hospital,JULIA CREEK,QLD
Junee Multi-Purpose Service,JUNEE,NSW
Kalamunda Hosp & Hlth Serv,KALAMUNDA,WA
Kalgoorlie Regional Hosp,KALGOORLIE,WA
Kangaroo Island Hlth Serv,KINGSCOTE,SA
Kaniva District Hospital,KANIVA,VIC
Kareena Private Hospital,CARINGBAH,NSW
Karitane Centre,FAIRFIELD HEIGHTS,NSW
Karoonda Memorial Hospital,KAROONDA,SA
Katanning District Hosp,KATANNING,WA
Katherine Hospital,KATHERINE,NT
Kawana Private Hospital,BIRTINYA,QLD
Keith & District Hospital,KEITH,SA
Kellerberrin Health Svcs,KELLERBERRIN,WA
Kempsey District Hospital,KEMPSEY,NSW
Kerang & District Hospital,KERANG,VIC
Kerferd Unit Psych Service,WANGARATTA,VIC
Kiama Hospital & Community Health Service,KIAMA,NSW
Kilcoy Hospital,KILCOY,QLD
Killarney & Dist Hospital,KILLARNEY,QLD
Kilmore & District Hospital,KILMORE,VIC
Kimba District Health,KIMBA,SA
King Edward Memorial Hosp,SUBIACO,WA
King Island District Hospital and Health Centre,CURRIE,TAS
Kingaroy Hospital,KINGAROY,QLD
Kingsgrove Day Hospital,KINGSGROVE,NSW
Kingston Soldiers Memorial Hospital,KINGSTON SE,SA
Knox Private Hospital,WANTIRNA,VIC
Kondinin Health Service,KONDININ,WA
Koo Wee Rup Regional Health Service,KOO WEE RUP,VIC
Kununoppin Dist Hospital,KUNUNOPPIN,WA
Kununurra District Hospital,KUNUNURRA,WA
Kurri Kurri Hospital,KURRI KURRI,NSW
Kwinana Adult Day Centre,KWINANA,WA
Kwinana Day Hospital,KWINANA,WA
Kyabram & Dist Health Services,KYABRAM,VIC
Kyneton District Health Service,KYNETON,VIC
Kyogle Memorial Health Service,KYOGLE,NSW
La Trobe Private Hospital,BUNDOORA,VIC
Lady Davidson Private Hosp,TURRAMURRA NORTH,NSW
Laidley Health Service,LAIDLEY,QLD
Lake Cargelligo Multi Puropose Health Service,LAKE CARGELLIGO,NSW
Lake Grace Health Service,LAKE GRACE,WA
Lake Macquarie Priv Hosp,GATESHEAD,NSW
Lambton Road Day Surgery,BROADMEADOW,NSW
Lameroo Dist Hlth Service,LAMEROO,SA
Laser Cosmetic Day Centre,COOGEE,NSW
Laser Skincare Centre,EAST MELBOURNE,VIC
Latrobe Regional Hospital,TRARALGON,VIC
Launceston Birth Centre,LAUNCESTON,TAS
Launceston General Hospital,LAUNCESTON,TAS
Laura Hospital,LAURA,SA
Laverton District Hospital,LAVERTON,WA
Lawrence Hargrave Hospital,THIRROUL,NSW
Leeton District Hospital,LEETON,NSW
Leigh Creek Health Service,LEIGH CREEK,SA
Leonora District Hospital,LEONORA,WA
Lidia Perin Memorial Hosp,DEAKIN,ACT
Linacre Private Hospital,HAMPTON,VIC
Lingard Private Hospital,MEREWETHER,NSW
Linley Clinic,CANTERBURY,VIC
Liposuction Australia,SOUTH YARRA,VIC
Lismore Base Hospital,LISMORE,NSW
Lismore Private Hospital,LISMORE,NSW
